0
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
#src,dst,CBand=0,link capacity 5Thz
0,1,0,5000,20
0,8,0,5000,5
0,17,0,5000,59
0,18,0,5000,2
1,8,0,5000,23
1,13,0,5000,127
2,4,0,5000,89
2,3,0,5000,27
2,15,0,5000,234
2,17,0,5000,203
3,9,0,5000,160
3,15,0,5000,439
4,12,0,5000,73
4,13,0,5000,163
5,13,0,5000,105
5,18,0,5000,183
5,21,0,5000,275
6,10,0,5000,419
6,11,0,5000,686
6,19,0,5000,48
7,9,0,5000,62
7,10,0,5000,109
7,20,0,5000,182
8,18,0,5000,7
9,12,0,5000,75
10,12,0,5000,99
10,21,0,5000,87
11,20,0,5000,120
11,21,0,5000,163
14,15,0,5000,71
14,16,0,5000,226
14,17,0,5000,197
16,17,0,5000,55
16,18,0,5000,115
19,20,0,5000,240

